year,month,calendar_fond,downtime,eto,tr,to2000,to500,to1000,to4000,to_suppl_systems,overhaul_total,to6000,tr_suppl_systems,to12000,tr_middle,eo_code,level_1,eo_model_name,eo_description,teh_mesto,mvz,constr_type,avearage_day_operation_hours_updated,operation_start_date,avearage_day_operation_hours,operation_finish_date,eo_main_class_description
2023,11,720,"83,82000000000001","19,8","40,0","0,0","0,0","0,0","13,0","10,0","0,0","0,0","10,0","0,0","0,0",100000008673,first03,Самосвалы CAT 785C,Самосвал карьерный 785C №1619,03-CTT-CC01,1213011420,960000001,"20,37",2017-12-12,"20,37",2030-01-01,Самосвалы карьерные
2023,12,744,"87,48","20,46","60,0","0,0","4,0","5,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",100000008673,first03,Самосвалы CAT 785C,Самосвал карьерный 785C №1619,03-CTT-CC01,1213011420,960000001,"20,37",2017-12-12,"20,37",2030-01-01,Самосвалы карьерные
2024,1,744,"63,14","20,46","40,0","0,0","4,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",100000008673,first03,Самосвалы CAT 785C,Самосвал карьерный 785C №1619,03-CTT-CC01,1213011420,960000001,"20,37",2017-12-12,"20,37",2030-01-01,Самосвалы карьерные
2024,2,696,"64,82000000000001","19,14","40,0","7,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",100000008673,first03,Самосвалы CAT 785C,Самосвал карьерный 785C №1619,03-CTT-CC01,1213011420,960000001,"20,37",2017-12-12,"20,37",2030-01-01,Самосвалы карьерные
2024,3,744,"84,8","20,46","61,0","0,0","4,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",100000008673,first03,Самосвалы CAT 785C,Самосвал карьерный 785C №1619,03-CTT-CC01,1213011420,960000001,"20,37",2017-12-12,"20,37",2030-01-01,Самосвалы карьерные
2024,4,720,"65,48","19,8","40,0","0,0","1,0","6,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",100000008673,first03,Самосвалы CAT 785C,Самосвал карьерный 785C №1619,03-CTT-CC01,1213011420,960000001,"20,37",2017-12-12,"20,37",2030-01-01,Самосвалы карьерные
2024,5,744,"96,14","20,46","40,0","0,0","3,0","0,0","0,0","10,0","0,0","0,0","10,0","14,0","0,0",100000008673,first03,Самосвалы CAT 785C,Самосвал карьерный 785C №1619,03-CTT-CC01,1213011420,960000001,"20,37",2017-12-12,"20,37",2030-01-01,Самосвалы карьерные
2024,6,720,"82,82000000000001","19,8","60,0","0,0","5,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",100000008673,first03,Самосвалы CAT 785C,Самосвал карьерный 785C №1619,03-CTT-CC01,1213011420,960000001,"20,37",2017-12-12,"20,37",2030-01-01,Самосвалы карьерные
2024,7,744,"65,14","20,46","40,0","0,0","0,0","6,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",100000008673,first03,Самосвалы CAT 785C,Самосвал карьерный 785C №1619,03-CTT-CC01,1213011420,960000001,"20,37",2017-12-12,"20,37",2030-01-01,Самосвалы карьерные
2024,8,744,"59,14","20,46","40,0","0,0","4,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",100000008673,first03,Самосвалы CAT 785C,Самосвал карьерный 785C №1619,03-CTT-CC01,1213011420,960000001,"20,37",2017-12-12,"20,37",2030-01-01,Самосвалы карьерные
2024,9,720,"336,56","19,8","60,0","0,0","4,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","282,0",100000008673,first03,Самосвалы CAT 785C,Самосвал карьерный 785C №1619,03-CTT-CC01,1213011420,960000001,"20,37",2017-12-12,"20,37",2030-01-01,Самосвалы карьерные
2024,10,744,"65,46000000000001","20,46","40,0","0,0","0,0","5,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",100000008673,first03,Самосвалы CAT 785C,Самосвал карьерный 785C №1619,03-CTT-CC01,1213011420,960000001,"20,37",2017-12-12,"20,37",2030-01-01,Самосвалы карьерные
2024,11,720,"62,480000000000004","19,8","40,0","0,0","4,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",100000008673,first03,Самосвалы CAT 785C,Самосвал карьерный 785C №1619,03-CTT-CC01,1213011420,960000001,"20,37",2017-12-12,"20,37",2030-01-01,Самосвалы карьерные
2024,12,744,"103,82000000000001","20,46","60,0","0,0","0,0","0,0","13,0","10,0","0,0","0,0","10,0","0,0","0,0",100000008673,first03,Самосвалы CAT 785C,Самосвал карьерный 785C №1619,03-CTT-CC01,1213011420,960000001,"20,37",2017-12-12,"20,37",2030-01-01,Самосвалы карьерные
2025,1,744,"68,14","20,46","40,0","0,0","4,0","5,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",100000008673,first03,Самосвалы CAT 785C,Самосвал карьерный 785C №1619,03-CTT-CC01,1213011420,960000001,"20,37",2017-12-12,"20,37",2030-01-01,Самосвалы карьерные
2025,2,672,"58,160000000000004","18,48","41,0","0,0","5,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",100000008673,first03,Самосвалы CAT 785C,Самосвал карьерный 785C №1619,03-CTT-CC01,1213011420,960000001,"20,37",2017-12-12,"20,37",2030-01-01,Самосвалы карьерные
2025,3,744,"86,82000000000001","20,46","60,0","0,0","0,0","0,0","0,0","0,0","0,0","9,0","0,0","0,0","0,0",100000008673,first03,Самосвалы CAT 785C,Самосвал карьерный 785C №1619,03-CTT-CC01,1213011420,960000001,"20,37",2017-12-12,"20,37",2030-01-01,Самосвалы карьерные
2025,4,720,"64,14","19,8","40,0","0,0","5,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",100000008673,first03,Самосвалы CAT 785C,Самосвал карьерный 785C №1619,03-CTT-CC01,1213011420,960000001,"20,37",2017-12-12,"20,37",2030-01-01,Самосвалы карьерные
2025,5,744,"70,14","20,46","40,0","0,0","5,0","6,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",100000008673,first03,Самосвалы CAT 785C,Самосвал карьерный 785C №1619,03-CTT-CC01,1213011420,960000001,"20,37",2017-12-12,"20,37",2030-01-01,Самосвалы карьерные
2025,6,720,"103,16","19,8","60,0","0,0","0,0","0,0","13,0","10,0","0,0","0,0","10,0","0,0","0,0",100000008673,first03,Самосвалы CAT 785C,Самосвал карьерный 785C №1619,03-CTT-CC01,1213011420,960000001,"20,37",2017-12-12,"20,37",2030-01-01,Самосвалы карьерные
2025,7,744,"63,14","20,46","40,0","0,0","4,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",100000008673,first03,Самосвалы CAT 785C,Самосвал карьерный 785C №1619,03-CTT-CC01,1213011420,960000001,"20,37",2017-12-12,"20,37",2030-01-01,Самосвалы карьерные
2025,8,744,"64,14","20,46","40,0","0,0","0,0","5,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",100000008673,first03,Самосвалы CAT 785C,Самосвал карьерный 785C №1619,03-CTT-CC01,1213011420,960000001,"20,37",2017-12-12,"20,37",2030-01-01,Самосвалы карьерные
2025,9,720,"89,82000000000001","19,8","60,0","8,0","4,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",100000008673,first03,Самосвалы CAT 785C,Самосвал карьерный 785C №1619,03-CTT-CC01,1213011420,960000001,"20,37",2017-12-12,"20,37",2030-01-01,Самосвалы карьерные
2025,10,744,"63,14","20,46","40,0","0,0","4,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",100000008673,first03,Самосвалы CAT 785C,Самосвал карьерный 785C №1619,03-CTT-CC01,1213011420,960000001,"20,37",2017-12-12,"20,37",2030-01-01,Самосвалы карьерные
